comentario;titulo;etiqueta
NO FUNCIONA DEMASIADO BIEN, FALLA EN ALGUNOS DISPOSITIVOS;USB;negativo
Muy bien para él trabajo que realizo estupendo y ahorro mucho tiempo y muy cómodo de utilizar y transportar gracias por todo;José pulido;positivo
Acabo precioso. Mi hermano está encantado con el.;Fantástico reloj a un precio asequible;positivo
No me sirvió para el mac book pro 15 2018;Lo devolví sin problema;negativo
Aún no he recibido el producto. De varios pedidos que he hecho para estas fiestas todos han llegado perfectamente menos 4, que increíblemente me ponen como recibidos y no es así. Espero lo solucionen pronto. Gracias!;El misterioso Viaje de Layton;negativo
Muy buena . Cumple lo que se dice;Buena compra si la consigues con rebaja;positivo
estamos muy contentos con la compra. El paquete estaba intacto, perfectamente embalado. Satisfechos con la compra y el precio del producto;genial!!;positivo
Muy buena relación calidad-precio;Relación calidad-precio;positivo
Buen acabado exterior de las piezas pese a ser aglomerado. El travesaño inferior venía casi partido y dañado por varias partes pero al verse menos no procederé a la devolución. El embalaje presentaba daños por lo cual era de esperar algo así.;Buen artículo pero trae desperfectos.;negativo
No encuentro práctico la activación de la alarma. Es necesario pasar por todos los parametros para activar y desactivar. Es poco operativo e intuitivo.;Programación de alarmas poco operativas;neutro
El cable es demasiado corto y no se indica su longitud en la descripción del producto;No vale para un sobremesa;negativo
Estan muy, buena relacion calidad precio;Estoy contenta con la compra;positivo
Lo devolvi porque era demasiado pequeño Me equivoque yo. Pero el servicio fue bueno.;Devolucion;negativo
Es muy práctico y a mi hijo le gusta porque es como un asiento y puede ir mirando delante. También se puede lavar y tiene una gorrita para taparlo si llueve un poco. Cuando te acostumbras, es muy fácil de poner.;Práctico;positivo
Pedí estas almoadillas porque despues de ajustar mis gafas infinidad de veces no dejan de molestarme y clavarse en mi nariz.....es un suplicio. Tengo que decir que este producto es de buena calidad y práctico sobre todo si tu problema es que no te apoyan bien en el caballete de la nariz y tienden a bajarse, tambien muy facil de colocar y sustituir los adhesivos.Pero tienes que tener en cuenta que el grosor de las almoadillas hará que tus gafas queden un poco mas altas. En definitiva lo veo un buen producto aunque mi problema sigue sin solucionarse y es que tengo la piel super delicada;Buen producto;positivo
Compré un juego para barra de 28mm y tengo que decir que ajustan perfectamente. Se quitan y se ponen rápidamente por lo que añadir o quitar discos se hace de una manera rápida y sencilla. No le doy 5 estrellas porque me parece que para el material que es podría ser más barato.;Cumplen su función;negativo
Llegó muy rápido, es como la foto. Las tallas son grandes, es cómodo y ancho. Perfecta la transacción. Repetiré seguro;Rapidisimo;positivo
Lo utilizo principalmente para después de raparme la cabeza y la verdad es que la deja bien hidratada y sin brillos. Quizá el efecto mate dure poco, especialmente en verano, aunque tampoco se pueden pedir milagros...;Correcto;positivo
Es muy grande y el tejido es horroroso. Ahí está colgado en la percha desde que lo recibí, etiqueta incluida. El corte, fatal. Si lo hubiera hecho yo, que no sé coser, seguro que estaba bastante mejor. Resumiendo: nada recomendable.;Fatal;negativo
muy malo. Se rompió nada mas utilizarlo.;roto el primer dia;negativo
Perfecto para el precio que tiene. Queda muy bien. Es un poco fino pero práctico. Estiliza bastante y se ajusta bien;Conforme a lo esperado;positivo
Muy bonitos y cómodos pero tengo una talla 41, y compré una talla 41, pero están algo grandes y sin sujeción. Creo que cuando se mojen o estén en el agua mojados se saldrán. Pero mi duda es... y una talla 40, me quedará pequeño? Tengo que comprar otros y tras comprobar cuál quedan mejor y descambiar el que no quiera? Problema... ahora no hay talla 40 hasta el 28 de agosto y me voy de viaje el día 3 de septiembre. Podré hacer todo?;Duda entre tallas!;negativo
